id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48511210,"Cozy 4 Bed Near DIA, Gaylord Resort, & Golf Course",389507421,IvaLeigh,,Gateway - Green Valley Ranch,39.7799,-104.76189,Entire home/apt,,30,3,2022-07-31,0.09,1,0,0,
48543014,Modern Farmhouse Studio in Platt Park!,35715445,Kimmie,,Platt Park,39.68166,-104.97724,Entire home/apt,159,2,153,2024-11-30,3.38,1,171,31,2021-BFN-0001680
48560151,Gorgeous Denver Home - Big Backyard,18714604,Courtney,,North Park Hill,39.75967,-104.90901,Entire home/apt,150,1,135,2024-12-08,3.10,1,342,49,2021-BFN-0002439
48563034,In The City,65914251,Stacie,,City Park West,39.74302,-104.9647,Entire home/apt,84,2,163,2024-12-01,3.82,1,310,37,2021-BFN-0002805
48563100,Washington Park Bungalow with hot tub!,2844261,Todd,,Washington Park West,39.70952,-104.97398,Entire home/apt,435,1,42,2024-06-16,0.93,2,177,1,2019-BFN-0001826
48622893,Clay st Chateau,78127236,Matt,,Chaffee Park,39.7865,-105.02178,Entire home/apt,140,4,44,2023-09-13,0.98,1,267,0,2016-BFN-0007418
48623326,Wash Park - Charming 1 Bdrm 1 Bath - basement unit,83636576,Douglas,,Cory - Merrill,39.69592,-104.95709,Private room,110,60,4,2021-09-18,0.09,1,88,0,
48638328,King bed! Sit/stand desk! Broadway Central VII,392360868,Lincolnwood,,Speer,39.71813,-104.98645,Entire home/apt,91,30,17,2024-08-15,0.38,17,89,4,
48657615,Cozy and colorful central Denver retreat,649694,Abbie,,Clayton,39.76647,-104.95085,Entire home/apt,103,1,134,2024-12-22,3.66,1,16,37,2021-BFN-0009836
48699093,Brand new townhome with rooftop - mountain views.,191018778,Cole,,Berkeley,39.77331,-105.04434,Entire home/apt,249,2,26,2024-09-21,0.99,2,364,12,2021-BFN-0005996
48711582,1bd Luxury Condo in LoDo,94052729,Wayne,,Union Station,39.74914,-105.00022,Entire home/apt,95,30,2,2021-06-20,0.05,1,304,0,
48751862,The Villa,136101373,Bret,,Stapleton,39.79554,-104.89376,Entire home/apt,379,29,100,2024-11-30,2.21,1,185,20,2020-BFN-0005047
48756895,3198(U205): Bohemian Hideaway at RiNo Art Lofts,365808978,RiNo Art,,Five Points,39.76451,-104.98231,Entire home/apt,166,1,160,2024-12-02,3.54,6,363,30,2021-BFN-0001465
48756909,3198(U301): Graffiti & Skyline at RiNo Art Lofts,365808978,RiNo Art,,Five Points,39.76539,-104.98206,Entire home/apt,166,1,133,2024-12-14,2.90,6,341,41,2021-BFN-0001465
48759182,Chic City Park Home | Rooftop Deck + Skyline Views,107279139,John And Kimberly,,City Park West,39.742853,-104.966239,Entire home/apt,150,1,60,2024-12-14,1.31,19,145,15,2020-BFN-0005252
48764824,Stunning Historic Home | DT Location! | Sleeps 8,107279139,John And Kimberly,,North Capitol Hill,39.7465,-104.982,Entire home/apt,180,1,65,2024-12-07,1.49,19,351,14,2016-BFN-0008423
48766620,New Modern Townhouse in the RiNo Art District,23035140,Justin,,Cole,39.768295,-104.972328,Entire home/apt,168,30,89,2024-10-29,2.04,1,115,34,2022-BFN-0000486
48766778,​​Roof Deck | Walk to Parks and St. Joseph’s | 30+,107279139,John And Kimberly,,Five Points,39.74891,-104.97484,Entire home/apt,90,29,61,2024-05-27,1.34,19,316,11,2020-BFN-0001837
48766983,Rooftop Townhome | Walk to Sloan’s Lake + Stadium,107279139,John And Kimberly,,West Colfax,39.74602,-105.03243,Entire home/apt,155,1,42,2024-12-01,0.94,19,353,6,2019-BFN-0008275
48789628,Modern Comfort | King Beds | Walk to Sloan’s Lake,356791420,Alex,,West Colfax,39.74134,-105.03973,Entire home/apt,70,1,94,2024-12-15,2.14,5,151,16,2020-BFN-0004500
48791148,"Boho chic studio, new build in RiNo",41865226,Alyssa,,Whittier,39.76082,-104.96894,Entire home/apt,95,1,252,2024-12-16,5.66,1,170,49,2021-BFN-0001830
48828474,Brilliant Luxury 1 Bedroom - heart of LoHi - WFH,5208398,Brewster,,Highland,39.76383,-105.01054,Entire home/apt,100,30,14,2023-08-31,0.32,1,277,0,
48831162,Berkely Bungalow,48761279,Madelyn,,Regis,39.78781,-105.0405,Entire home/apt,147,1,25,2024-11-17,0.57,1,55,13,2021-BFN-0002756
48871316,Modern Victorian | Backyard Haven | Walk to RiNo,134192670,Paige,,Whittier,39.75996,-104.96816,Entire home/apt,,2,71,2024-12-27,1.57,1,0,9,2021-BFN-0001822
48876884,Stay Bless,219506731,Victorien,,Gateway - Green Valley Ranch,39.77466,-104.76541,Private room,30,29,3,2022-09-17,0.07,16,184,0,2019-BFN-0000998
48877553,A blessing,219506731,Victorien,,Gateway - Green Valley Ranch,39.77423,-104.76602,Private room,,29,3,2021-10-18,0.07,16,365,0,2019-BFN-0000998
48913938,City Park Guesthouse in Backyard,41195268,Kassidy,,Skyland,39.75769,-104.94317,Entire home/apt,65,30,40,2024-10-31,0.89,1,116,3,2021-BFN-0001853
48940395,Trendy Upscale Highlands Home/4 bedrooms/Sleeps 10,394736170,Robert,,Highland,39.76316,-105.01614,Entire home/apt,150,30,125,2024-11-29,2.76,1,292,5,2021-BFN-0000775
48972854,The Platt Park Pearl (walk to South Pearl & DU),115204278,Jeff,,Platt Park,39.68347,-104.98101,Entire home/apt,87,2,116,2024-12-26,4.87,1,321,56,2023-BFN-0000662
48981489,Bedroom w/ private bathroom by Cheesman Park,22228344,Nina,,Cheesman Park,39.73438,-104.96297,Private room,45,100,1,2021-12-20,0.03,1,302,0,
49001770,Sloan’s Lake 1 Bedroom w/ Shared Rooftop,62305383,Bret,,West Colfax,39.74218,-105.03493,Entire home/apt,,5,130,2024-10-20,2.87,3,0,21,2018-BFN-0002424
49019081,2 Bedroom Historic Baker Row Home,42620368,Sabrina,,Baker,39.72249,-104.99384,Entire home/apt,79,29,15,2024-10-02,0.35,3,305,4,
49036910,New luxury condo - pet friendly - executive rental,34955862,Scott,,Jefferson Park,39.75674,-105.02063,Entire home/apt,95,29,1,2022-09-04,0.04,40,339,0,
49061547,Central DNVR Private Suite - Adjacent to City Park,1109725,Jason,,City Park West,39.74593,-104.96072,Entire home/apt,65,2,210,2024-12-11,4.66,1,261,49,2021-BFN-0000966
49062065,Fun and comfortable private house.,395685264,James,,College View - South Platte,39.66435,-105.01684,Entire home/apt,106,2,112,2024-10-12,2.57,1,265,25,2021-BFN-0002322
49071410,Highlands Retreat,52470095,Kristin,,Highland,39.76549,-105.00955,Entire home/apt,109,2,108,2024-12-01,2.40,9,28,20,2021-BFN-0000584
49080149,Family Retreat Near DU (No Fees),151849004,Chris+Allison,,University Park,39.67905,-104.95089,Entire home/apt,175,3,164,2024-11-21,3.69,1,145,46,2021-BFN-0001963
49081838,❊ ❊ ❊  Remodeled Congress Park Flat ❊ ❊ ❊ With Free Reserved Parking,395859496,Kendra,,Congress Park,39.73675,-104.95628,Entire home/apt,67,30,14,2024-12-01,0.33,1,239,3,
49088589,"Luxury 3b/3b Hot tub, Sauna, Home Gym, Fenced yard",15354124,Caleb,,Virginia Village,39.68355,-104.92741,Entire home/apt,318,1,30,2024-12-26,1.02,1,357,14,2022-BFN-0005861
49095997,Chic Palm Springs getaway near heart of Denver,58098571,Brooke,,Cole,39.76333,-104.95996,Entire home/apt,103,1,366,2024-12-16,8.33,1,164,97,2023-BFN-0025147
49113893,Regis Cottage,252583587,Luke,,Regis,39.7916,-105.03085,Entire home/apt,190,1,124,2024-12-26,2.87,1,53,35,
49114652,2-Bedrooms w/ Livingroom Kitchen & Private Bath,40939130,Zak,,Goldsmith,39.66904,-104.91645,Private room,119,2,5,2023-09-10,0.15,2,88,0,2017-BFN-0002467
49130078,Sentral 30+ Designer Studio at Union Station,261774896,Sentral Union Station,,Union Station,39.75608,-105.00242,Entire home/apt,86,30,17,2024-05-26,0.40,4,259,3,
49131664,Newly Renovated 2 Bedroom Suite | Country Club,25138890,Tommy,,Country Club,39.72188,-104.97149,Entire home/apt,154,2,59,2024-10-20,1.67,1,80,7,2021-BFN-0008142
49139097,A little slice of Wash Park,14124542,Gian,,Washington Park,39.70817,-104.96864,Entire home/apt,154,2,41,2024-10-21,0.96,1,269,9,2021-BFN-0008625
49158338,Urban Oasis in RiNo Arts District,40540817,Shannon,,Five Points,39.7615,-104.97748,Entire home/apt,148,1,282,2024-12-28,6.61,1,24,60,2021-BFN-0002656
49193699,Wash park private entrance bottom unit w/hot tub!,2844261,Todd,,Washington Park West,39.70968,-104.9742,Entire home/apt,161,1,90,2024-11-24,2.04,2,363,34,2019-BFN-0001826
49198556,Stunning 4 Bed Full House in the Heart of LoHi!,50200670,McKenna,,Highland,39.7635,-105.01397,Entire home/apt,800,2,73,2024-07-21,1.62,1,364,5,2021-BFN-0002249
49203947,Beautiful Cherry Creek North - Close to Downtown,6670605,Lionel,,Cherry Creek,39.71576,-104.94212,Entire home/apt,232,2,97,2024-12-29,2.15,1,175,22,2021-BFN-0000896
49241225,New Build Studio ✧ Walkability to Dining & Drinks!,1474666,Joseph,,North Capitol Hill,39.74499,-104.97667,Entire home/apt,115,1,195,2024-12-14,4.40,2,348,44,2019-BFN-0008065
49245967,Denver Botanical House - Gateway to the Rockies,119949413,James,,University Hills,39.66917,-104.93402,Entire home/apt,284,3,63,2024-12-01,1.71,1,55,22,2021-BFN-0009096
49275173,Monthly Furnished Apartment South of Downtown,338377982,Antoine,,Baker,39.71495,-104.98979,Entire home/apt,55,30,6,2022-11-23,0.14,8,287,0,
49276068,W Highland's Luxury Modern Designer Home,143072740,Lexie,,West Highland,39.76501,-105.04641,Entire home/apt,,2,10,2023-11-26,0.24,1,0,0,2021-BFN-0002758
49288412,My hidden Gem (pet friendly),145580931,Patrick,,West Highland,39.76752,-105.0483,Entire home/apt,95,29,16,2024-09-20,0.37,2,286,4,
49339517,Stunning Remodel 1bd in Santa Fe Arts 29day Min836,11583644,Brian,,Lincoln Park,39.72974,-104.996254,Entire home/apt,71,29,8,2022-09-11,0.19,2,290,0,
49347404,Charming Washington Park Home,118964159,Aaron,,Washington Park West,39.70423,-104.98333,Entire home/apt,,29,31,2024-03-31,0.71,1,0,4,2021-BFN-0002522
49348267,1BR in a Small house with a great location,8464417,Jp,,Whittier,39.75443,-104.96974,Private room,46,30,4,2024-08-03,0.12,1,365,2,
49363090,Newly Renovated Private Garden Suite,25078544,Nathalie,,Montclair,39.72847,-104.91472,Entire home/apt,124,1,68,2024-12-02,1.56,1,262,11,2021-BFN-0002336
49367087,Luxury Highland Townhouse with City Views,23765065,Kamiar,,Jefferson Park,39.75209426879883,-105.02238464355469,Entire home/apt,330,3,19,2024-09-04,0.44,1,6,5,2022-BFN-0009317
