ID,Neighborhood,Latitude,Longitude,Listing Type,Price,Available Days per Year,Host Listings Count
13449331,Sunnyside,39.77165,-105.02229,Entire home/apt,100.0,338,1
13494205,Highland,39.75959,-105.01606,Entire home/apt,327.0,182,1
13505760,North Park Hill,39.75627,-104.92853,Entire home/apt,236.0,7,1
13545464,CBD,39.74541,-104.99633,Entire home/apt,77.0,273,1
13656567,West Highland,39.76333,-105.0463,Entire home/apt,120.0,88,1
13656664,Whittier,39.76119,-104.96797,Entire home/apt,99.0,150,2
13744375,Washington Virginia Vale,39.69733,-104.9257,Entire home/apt,61.0,269,1
13745963,Skyland,39.75788,-104.95397,Entire home/apt,91.0,314,1
13751109,Highland,39.7606,-105.00893,Entire home/apt,211.0,248,1
13751968,North Capitol Hill,39.74041,-104.97696,Entire home/apt,76.0,140,1
13752452,Highland,39.76052,-105.01607,Entire home/apt,76.0,256,1
13764044,Cherry Creek,39.72184,-104.95174,Entire home/apt,218.0,336,2
13783439,Five Points,39.74943,-104.97648,Entire home/apt,675.0,359,2
13784513,Five Points,39.74982,-104.97459,Entire home/apt,205.0,363,2
13878432,CBD,39.7438,-104.99512,Entire home/apt,200.0,365,14
13880152,Cole,39.76506,-104.96806,Private room,130.0,365,3
13881439,Hilltop,39.7221,-104.90826,Private room,61.0,365,2
13957450,Union Station,39.74966,-104.99659,Entire home/apt,178.0,365,14
13973540,Sloan Lake,39.755726,-105.026726,Entire home/apt,321.0,228,1
14010321,North Park Hill,39.75859,-104.91988,Entire home/apt,80.0,258,1
14042763,Whittier,39.75886,-104.96798,Entire home/apt,110.0,245,1
14043521,Washington Park West,39.70109,-104.9782,Entire home/apt,400.0,83,1
14053279,Speer,39.7199546,-104.980072,Entire home/apt,119.0,283,1
14187514,West Colfax,39.73564,-105.05064,Entire home/apt,145.0,82,2
14215205,West Colfax,39.73613,-105.03832,Entire home/apt,135.0,364,1
14252763,Five Points,39.76356423980803,-104.97373948890214,Private room,70.0,122,1
14369542,Gateway - Green Valley Ranch,39.78556,-104.76256,Private room,69.0,345,3
14422394,Speer,39.716354,-104.98674,Private room,148.0,364,4
14440882,South Park Hill,39.74547,-104.94033,Entire home/apt,158.0,364,1
14548753,Gateway - Green Valley Ranch,39.77278,-104.75447,Entire home/apt,225.0,365,1
14593779,Regis,39.78883,-105.05298,Entire home/apt,120.0,167,1
14612748,West Highland,39.76342,-105.03554,Entire home/apt,80.0,182,1
14724270,Five Points,39.75258,-104.98143,Private room,58.0,179,1
14759489,Five Points,39.75369,-104.97549,Private room,60.0,78,3
14772430,CBD,39.74445,-104.98917,Entire home/apt,85.0,88,1
14772610,Whittier,39.75397,-104.97301,Entire home/apt,110.0,363,1
14786288,East Colfax,39.73802,-104.90012,Private room,30.0,62,2
14800540,Sloan Lake,39.75824,-105.02584,Entire home/apt,82.0,66,2
14824298,Sunnyside,39.77064,-105.02294,Entire home/apt,174.0,98,1
14840559,Stapleton,39.81010189316037,-104.8725487186108,Entire home/apt,130.0,152,1
14946195,Platt Park,39.68262,-104.98287,Entire home/apt,96.0,326,3
14962389,Cole,39.77057,-104.96709,Entire home/apt,243.0,37,1
15022935,Baker,39.71792,-104.98838,Entire home/apt,329.0,328,2
15023317,Whittier,39.7619,-104.96563,Entire home/apt,407.0,178,1
15044067,Five Points,39.75249,-104.98511,Entire home/apt,279.0,23,1
15125534,Washington Virginia Vale,39.69714,-104.92788,Entire home/apt,69.0,365,2
15143586,CBD,39.74511,-104.99288,Entire home/apt,317.0,285,1
15252302,Jefferson Park,39.75226,-105.02308,Entire home/apt,301.0,80,1
15270140,West Colfax,39.73884,-105.03598,Entire home/apt,157.0,90,1
15303547,Lowry Field,39.71123,-104.8937,Entire home/apt,59.0,324,1
15344781,Stapleton,39.74816,-104.89858,Private room,50.0,149,1
15409638,CBD,39.74032,-104.99397,Entire home/apt,668.0,331,5
15422123,Whittier,39.75553,-104.97156,Entire home/apt,150.0,57,1
15425189,Civic Center,39.74001,-104.99373,Entire home/apt,599.0,343,5
15436226,Civic Center,39.74001,-104.99373,Entire home/apt,599.0,341,5
15451442,Marston,39.62575,-105.09514,Entire home/apt,74.0,61,1
15452554,Five Points,39.75434,-104.97749,Private room,60.0,85,3
15509056,Cheesman Park,39.73591,-104.97055,Entire home/apt,120.0,346,1
15536986,Berkeley,39.77701,-105.03584,Entire home/apt,115.0,170,1
